Date,Return_Squared,RV
2018-01-01,0.006257168415743343,0.07910226555379651
2018-01-02,0.0051615223000766935,0.07184373528761359
2018-01-03,0.0033842475619658653,0.05817428608900899
2018-01-04,0.00412088269819648,0.06419410173992997
2018-01-05,0.0027714901965327264,0.05264494464364766
2018-01-06,0.002347872280040111,0.04845484784869426
2018-01-07,0.0026287443722640184,0.05127128213984919
2018-01-08,0.007458907454388719,0.08636496659171888
2018-01-09,0.0045939584065367665,0.06777874597937592
2018-01-10,0.005560274152737129,0.07456724584384976
2018-01-11,0.012441237331428873,0.11154029465367604
2018-01-12,0.005194353634170131,0.07207186437279205
2018-01-13,0.0026266882261035116,0.05125122658145375
2018-01-14,0.004089369260112227,0.06394817636267845
2018-01-15,0.002768046250722295,0.052612225297190146
2018-01-16,0.02935832334335262,0.17134270729550358
2018-01-17,0.03740353340983938,0.19339993125603583
2018-01-18,0.01583916139039655,0.1258537301409718
2018-01-19,0.007373631191736779,0.08586985030694289
2018-01-20,0.00502078091145792,0.07085746898851186
2018-01-21,0.00875523958274061,0.09356943722573419
2018-01-22,0.011067199454599252,0.10520075786133506
2018-01-23,0.01180892994487397,0.1086689005413875
2018-01-24,0.0065699561628870815,0.08105526610212986
2018-01-25,0.004037472219563426,0.06354110653398654
2018-01-26,0.005836444925457632,0.07639662901894057
2018-01-27,0.00369495915101186,0.060786175657067454
2018-01-28,0.00302400159141523,0.05499092280927126
2018-01-29,0.003466736644351786,0.058879000028463344
2018-01-30,0.0055916782493344195,0.07477752502814211
2018-01-31,0.006469433829684866,0.08043279076151011
2018-02-01,0.008346730060053216,0.09136044034511445
2018-02-02,0.018618140949046166,0.13644830870716634
2018-02-03,0.00951342128590852,0.09753676889208766
2018-02-04,0.01147743177600197,0.10713277638520328
2018-02-05,0.02610756075113873,0.16157834245696026
2018-02-06,0.04152229820325626,0.20377020931249068
2018-02-07,0.01453576947347041,0.12056437895776019
2018-02-08,0.009099814999091401,0.09539295046852991
2018-02-09,0.005709929034340463,0.07556407237795262
2018-02-10,0.005613118161992615,0.07492074587183856
2018-02-11,0.005832142590625562,0.0763684659439062
2018-02-12,0.0040897177251893535,0.06395090089427477
2018-02-13,0.002755811294008967,0.05249582168143448
2018-02-14,0.0019118309258509519,0.04372448885751498
2018-02-15,0.003975634186827271,0.06305263029269494
2018-02-16,0.002282807672361444,0.04777873661328273
2018-02-17,0.002418252110435352,0.04917572684196291
2018-02-18,0.004901737040187922,0.07001240633050633
2018-02-19,0.0028799163989205517,0.05366485254727298
2018-02-20,0.002837088592650564,0.05326432758094824
2018-02-21,0.005289261937269144,0.07272731218235103
2018-02-22,0.004958713673409701,0.07041813454934533
2018-02-23,0.0036630485517245726,0.0605231241074399
2018-02-24,0.0038407026294913593,0.06197340259733493
2018-02-25,0.002497505187591961,0.04997504564872313
2018-02-26,0.0023703002664289706,0.04868572959737762
2018-02-27,0.001790319453417917,0.042312166730361575
2018-02-28,0.002268117128322287,0.04762475331508067
2018-03-01,0.0014684457904188728,0.038320305197360745
2018-03-02,0.001229760542237771,0.03506794180213277
2018-03-03,0.0007658435880025929,0.02767387916434183
2018-03-04,0.000929693988413322,0.03049088369354555
2018-03-05,0.0005235563643583084,0.022881354076153545
2018-03-06,0.0012647500374864246,0.03556332433120425
2018-03-07,0.004328005415208343,0.06578757797037631
2018-03-08,0.004274123362226221,0.06537677999279423
2018-03-09,0.009184355135577742,0.09583504127185287
2018-03-10,0.0028532335232301187,0.053415667394783324
2018-03-11,0.004350648033121547,0.06595944233482835
2018-03-12,0.005205152865641598,0.07214674535723423
2018-03-13,0.005516711966081219,0.07427457146346399
2018-03-14,0.00411670716436105,0.06416157077535625
2018-03-15,0.005842114458525872,0.07643372592335056
2018-03-16,0.0038572509969895573,0.062106770943187485
2018-03-17,0.002990294513573734,0.05468358541256904
2018-03-18,0.006264651791529491,0.07914955332488928
2018-03-19,0.0050379939543355205,0.0709788275074724
2018-03-20,0.002836438304421759,0.05325822288080742
2018-03-21,0.0020691923856112344,0.04548837637915025
2018-03-22,0.002043668897846746,0.04520695629929918
2018-03-23,0.0022878737445698513,0.047831723203015084
2018-03-24,0.0017636956102740262,0.04199637615644981
2018-03-25,0.002228179506112544,0.04720359632604855
2018-03-26,0.002615039815441471,0.051137460001856476
2018-03-27,0.0032409735993284084,0.05692954943900758
2018-03-28,0.0013817566982881786,0.03717198808630201
2018-03-29,0.003912293907135768,0.0625483325687885
2018-03-30,0.007797770144880531,0.08830498369220466
2018-03-31,0.00303856772125197,0.05512320492543925
2018-04-01,0.003449573073179451,0.05873306626747365
2018-04-02,0.0018462533082595155,0.04296804985404289
2018-04-03,0.0013861262989057531,0.037230717141975025
2018-04-04,0.0021342511735677697,0.04619795637869461
2018-04-05,0.0029332236236723824,0.05415924319700546
2018-04-06,0.0014727327821516035,0.03837620072586138
2018-04-07,0.002113958333052626,0.04597780261226743
2018-04-08,0.000619878621033993,0.024897361728383853
2018-04-09,0.001514012208793471,0.038910309800790216
2018-04-10,0.0007322402197060692,0.027059937540690467
2018-04-11,0.00033035928331904966,0.018175788382324705
2018-04-12,0.0042868093219457434,0.06547373001399678
2018-04-13,0.0023538771577908835,0.048516771922613354
2018-04-14,0.0014378075404438367,0.03791843272662831
2018-04-15,0.001107063064268649,0.03327255722466563
2018-04-16,0.001510437212334776,0.03886434371419098
2018-04-17,0.0008301114919107653,0.02881165548715945
2018-04-18,0.0011772550983433158,0.034311151224395195
2018-04-19,0.0008263544138289804,0.02874638088227769
